2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
16,Charlotte,North Carolina,872498,731424,+19.29%,305.4sqmi 791.0km2,"2,757/sqmi 1,064/km2","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Charlotte () is the most populous city in the U.S. state of North Carolina.
17,Indianapolis,Indiana,867125,820445,+5.69%,361.5sqmi 936.3km2,"2,366/sqmi 914/km2",https://en.wikipedia.org/wiki/Indianapolis,"Indianapolis (), often shortened to Indy, is the state capital and most populous city of the U.S. state of Indiana and the seat of Marion County."
18,Seattle,Washington,744955,608660,+22.39%,83.8sqmi 217.0km2,"8,405/sqmi 3,245/km2",https://en.wikipedia.org/wiki/Seattle,Seattle ( (listen) see-AT-əl) is a seaport city on the West Coast of the United States.
19,Denver,Colorado,716492,600158,+19.38%,153.3sqmi 397.0km2,"4,521/sqmi 1,746/km2",https://en.wikipedia.org/wiki/Denver,"Denver (), officially the City and County of Denver, is the capital and most populous municipality of the U.S. state of Colorado."
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74%,61.1sqmi 158.2km2,"11,148/sqmi 4,304/km2","https://en.wikipedia.org/wiki/Washington,_D.C.","Washington, D.C., formally the District of Columbia and commonly referred to as Washington or D.C., is the capital of the United States."
21,Boston,Massachusetts,694583,617594,+12.47%,48.3sqmi 125.1km2,"13,938/sqmi 5,381/km2",https://en.wikipedia.org/wiki/Boston,Boston is the capital and most populous city of the Commonwealth of Massachusetts in the United States.
22,El Paso,Texas,682669,649121,+5.17%,256.8sqmi 665.1km2,"2,660/sqmi 1,030/km2","https://en.wikipedia.org/wiki/El_Paso,_Texas","El Paso (; from Spanish, ""the pass"") is a city in and the county seat of El Paso County, Texas, United States, in the far western part of the state."
23,Detroit,Michigan,672662,713777,-5.76%,138.8sqmi 359.5km2,"4,847/sqmi 1,871/km2",https://en.wikipedia.org/wiki/Detroit,"Detroit (, locally also ; French: Détroit, lit."
24,Nashville,Tennessee,669053,601222,+11.28%,"475.9sqmi 1,232.6km2","1,388/sqmi 536/km2","https://en.wikipedia.org/wiki/Nashville,_Tennessee",Nashville is the capital and most populous city of the U.S. state of Tennessee.
27,Oklahoma City,Oklahoma,649021,579999,+11.90%,"606.3sqmi 1,570.3km2","1,053/sqmi 407/km2",https://en.wikipedia.org/wiki/Oklahoma_City,"Oklahoma City (), often shortened to OKC, is the capital and largest city of the U.S. state of Oklahoma."
